Categoria;Unitats;Direcció;Hotel de ciutat;Localitat;UTM (X);Grup;Subgrup;Memoria descriptiva;Municipi;Superfície;Inici d'activitat;Denominació comercial;UTM(Y);Places;Excepcions ratio turístic;Explotador/s;Signatura;Estat;longitude;latitude
;11;10, PARCEL·LA, 461. 07460 POLLENÇA, Mallorca;;Pollença;505734.74;Agroturisme;Allotjaments;;POLLENÇA;;12/11/2004;LLENAIRE;4415490.72;22;;LLENAIRE FINCA AGROTURISME SL (B57027609);AG/138;Alta;3.067075191882532;39.889460811675995
;8;4, PARCEL.LES 39 I 73, S/N. 07190 ESPORLES, Mallorca;;Esporles;467168.77;Agroturisme;Allotjaments;;ESPORLES;;26/11/2004;RONDAIA;4390157.64;15;;SA SIMENTERA DE CANET (V01671189);AG/139;Alta;2.617266568461904;39.660594675010884
;20;CALA MESQUIDA/ CAMI DE SON BARBASSA POL- 4 PARCEL.LA 180 I 181, S/N. 07580 CAPDEPERA, Mallorca;;Capdepera;535923.5;Agroturisme;Allotjaments;;CAPDEPERA;;26/11/2004;CASES DE SON BARBASSA;4397068.23;40;;ASESORIA LABORAL Y GESTION EMPRESA SL (B07585532);AG/140;Alta;3.4191574129711775;39.72273499914346
;9;SON DAGUETA POLÍGON 4, PARCEL·LES 850 I 906, S/N. 07260 PORRERES, Mallorca;;Porreres;502644.478605;Agroturisme;Allotjaments;;PORRERES;;26/11/2004;CAN FELIU;4373072.21326;17;;SON DAGUETA SL;AG/141;Alta;3.0307604630394986;39.50727382181772
;4;Carretera LLUCMAJOR-CAMPOS, KM 33.POLÍGONO 5, PARC. 664,665, 486, S/N. 07630 CAMPOS, Mallorca;;Campos;498032.4187;Agroturisme;Allotjaments;;CAMPOS;;14/12/2004;SON SALA;4366221.29598;8;;SON SALA, SC (J16577058);AG/142;Alta;2.977133396699502;39.44554464427379
;8;POLÍGONO, Nº 48, PARCELA 77, S/N. 07200 FELANITX, Mallorca;;Felanitx;506821.12;Agroturisme;Allotjaments;;FELANITX;;04/01/2005;CAN RITO;4368269.98;16;;JOSE LUIS FORTEZA ARTIGUES;AG/143;Alta;3.079293790801929;39.463979838219664
;9;SANT LLORENÇ-ARTA, KM 58.3 (6, PARCELAS 457 Y 27), S/N. 07530 Sant Llorenç Del Cardassar, SANT LLORENÇ DES CARDASSAR, Mallorca;;Sant Llorenç Del Cardassar;525152.021182;Agroturisme;Allotjaments;;SANT LLORENÇ DES CARDASSAR;;30/03/2005;SES CASES NOVES;4385525.08567;20;;AGROTURISME SES CASES NOVES SL (B57066615);AG/144;Alta;3.293037329157212;39.61911471789642
;9;10, PARCEL.LA 28, S/N. 07570 ARTÀ, Mallorca;;Artà;527640.99;Agroturisme;Allotjaments;;ARTÀ;;30/03/2005;SON CARDAIX;4389860.27;18;;SON CARDAIX, SL (B22635528);AG/145;Alta;3.3222162176547934;39.65809893569304
;5;27  PARCEL·LA, 98. 07500 MANACOR, Mallorca;;Manacor;514718.91;Agroturisme;Allotjaments;;MANACOR;;25/04/2005;SES CASES D´ES RAFALET;4383671.22;10;;MARGALIDA GALMES MEDINA;AG/146;Alta;3.1714443166892083;39.60265371062525
;7;Polígon 12, PARCEL·LA 150. 07450 SANTA MARGALIDA, Mallorca;;Santa Margalida;513259.087971;Agroturisme;Allotjaments;;SANTA MARGALIDA;;08/07/2005;SA BOLEDA;4396805.83895;14;;TANCA LLARGA, SL (B57509630);AG/147;Alta;3.1547041808455867;39.72102437160701
;5;ARTÀ-CANYAMEL (PARCEL·LA 142, POLÍGON 15), S/N. 07570 ARTÀ, Mallorca;;Artà;532934.82;Agroturisme;Allotjaments;;ARTÀ;;30/11/2005;NA SET CENTES;4392537.45;10;;NA SETCENTES, SL (B07960262);AG/148;Alta;3.3840597322567088;39.682033044332684
;12;CAMI DES MIRADOR SENSE NUMERO, S/N. 07141 Cabaneta (La), MARRATXÍ, Mallorca;;Cabaneta (La);479383.02;Agroturisme;Allotjaments;;MARRATXÍ;;31/01/2006;S´HORT DE SON CAULELLES;4385657.09;24;;SON CAULELLES NOU S.A. (A07304835);AG/149;Alta;2.759794240717958;39.62042537281007
;5;Camí DE CA´N COLL, 1. 07100 SÓLLER, Mallorca;;Sóller;474848.879044;Agroturisme;Allotjaments;;SÓLLER;;02/09/1993;CA´N COLL;4402819.2752;9;;CAN COLL WINE & MORE, SL (B44541373);AG/15;Alta;2.706313490267097;39.77493809961247
;8;PALMA-VALLDEMOSSA KM 10,9, S/N. 07190 Esgleieta (L´), ESPORLES, Mallorca;;Esgleieta (L´);469187.388403;Agroturisme;Allotjaments;;ESPORLES;;17/03/2006;CA NA SUSI;4389500.70867;15;;SUSANA GOMEZ QUINTANA;AG/158;Alta;2.640829008875654;39.65475077981512
;10;POLÍGON 8, PARCEL·LA 7, S/N. 07110 BUNYOLA, Mallorca;;Bunyola;473503.41;Agroturisme;Allotjaments;;BUNYOLA;;20/04/2006;ALFABIA;4396534.38;24;;SINEU INVERSIONES S.L. (B07594609);AG/159;Alta;2.690856005441433;39.71826995926089
;14;Carretera CAMPOS-COLONIA DE SANT JORDI, KM. 6,4, PARCEL·LA 574, POLÍGON 18, S/N. 07630 CAMPOS, Mallorca;;Campos;502158.848178;Agroturisme;Allotjaments;;CAMPOS;;02/09/1993;ES PALMER;4.358084495E9;28;;ERHARD & STERN ESPAÑA, SL (B16634602);AG/16;Alta;3.0196578149579705;-9.30181304020136
