TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,EDAD_MADRE#ca,EDAD_MADRE#es,EDAD_MADRE_CODE,ORDEN_HIJO#ca,ORDEN_HIJO#es,ORDEN_HIJO_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION_CODE,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Sisè/Sisena,Sexto/a,6,25,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Sisè/Sisena,Sexto/a,6,7,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Sisè/Sisena,Sexto/a,6,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Desè/Desena o més,Décimo/a o más,GE10,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Cinquè/Cinquena,Quinto/a,5,33,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Cinquè/Cinquena,Quinto/a,5,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Cinquè/Cinquena,Quinto/a,5,20,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Cinquè/Cinquena,Quinto/a,5,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Cinquè/Cinquena,Quinto/a,5,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Cinquè/Cinquena,Quinto/a,5,1,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Cinquè/Cinquena,Quinto/a,5,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Total,Total,_T,Cinquè/Cinquena,Quinto/a,5,68,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 40 a 44 anys,De 40 a 44 años,Y40T44,Cinquè/Cinquena,Quinto/a,5,13,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Desconegut,Desconocido,_U,Cinquè/Cinquena,Quinto/a,5,0,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 45 a 49 anys,De 45 a 49 años,Y45T49,Cinquè/Cinquena,Quinto/a,5,1,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 35 a 39 anys,De 35 a 39 años,Y35T39,Primer/a,Primero/a,1,994,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,Menor de 15 anys,Menor de 15 años,Y_LT15,Primer/a,Primero/a,1,3,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 30 a 34 anys,De 30 a 34 años,Y30T34,Primer/a,Primero/a,1,1606,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 20 a 24 anys,De 20 a 24 años,Y20T24,Primer/a,Primero/a,1,584,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,50 anys o més,50 años o más,Y_GE50,Primer/a,Primero/a,1,5,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 25 a 29 anys,De 25 a 29 años,Y25T29,Primer/a,Primero/a,1,1000,Valor normal,Valor normal,A,,,,,
Illes Balears,Illes Balears,ES53,2024,2024,2024,De 15 a 19 anys,De 15 a 19 años,Y15T19,Primer/a,Primero/a,1,153,Valor normal,Valor normal,A,,,,,
